Date,Open,High,Low,Close,Volume
20210118  12:00:00 AM,103.916,103.924,103.9,103.917,123
20210118  12:01:00 AM,103.917,103.931,103.904,103.931,151
20210118  12:02:00 AM,103.931,103.931,103.896,103.896,104
20210118  12:03:00 AM,103.896,103.901,103.876,103.876,152
20210118  12:04:00 AM,103.878,103.885,103.87,103.881,131
20210118  12:05:00 AM,103.882,103.888,103.876,103.877,84
20210118  12:06:00 AM,103.876,103.879,103.861,103.861,107
20210118  12:07:00 AM,103.862,103.863,103.845,103.854,97
20210118  12:08:00 AM,103.856,103.869,103.856,103.862,123
20210118  12:09:00 AM,103.862,103.868,103.86,103.867,44
20210118  12:10:00 AM,103.867,103.872,103.861,103.87,67
20210118  12:11:00 AM,103.87,103.87,103.857,103.858,55
20210118  12:12:00 AM,103.859,103.877,103.858,103.874,49
20210118  12:13:00 AM,103.876,103.885,103.856,103.856,96
20210118  12:14:00 AM,103.856,103.863,103.851,103.858,63
20210118  12:15:00 AM,103.858,103.865,103.851,103.861,103
20210118  12:16:00 AM,103.861,103.864,103.85,103.853,84
20210118  12:17:00 AM,103.853,103.854,103.851,103.852,32
20210118  12:18:00 AM,103.852,103.857,103.842,103.856,98
20210118  12:19:00 AM,103.856,103.863,103.853,103.855,54
20210118  12:20:00 AM,103.856,103.857,103.842,103.842,57
20210118  12:21:00 AM,103.841,103.846,103.827,103.828,76
20210118  12:22:00 AM,103.832,103.832,103.815,103.824,113
20210118  12:23:00 AM,103.825,103.838,103.823,103.824,58
20210118  12:24:00 AM,103.823,103.828,103.813,103.82,69
20210118  12:25:00 AM,103.819,103.822,103.796,103.801,111
20210118  12:26:00 AM,103.805,103.809,103.796,103.803,56
20210118  12:27:00 AM,103.804,103.822,103.804,103.822,54
20210118  12:28:00 AM,103.822,103.829,103.82,103.829,38
20210118  12:29:00 AM,103.828,103.834,103.823,103.832,47
20210118  12:30:00 AM,103.833,103.839,103.823,103.826,74
20210118  12:31:00 AM,103.826,103.835,103.821,103.833,92
20210118  12:32:00 AM,103.833,103.836,103.828,103.831,66
20210118  12:33:00 AM,103.831,103.835,103.829,103.831,26
20210118  12:34:00 AM,103.832,103.838,103.831,103.835,61
20210118  12:35:00 AM,103.836,103.836,103.828,103.832,68
20210118  12:36:00 AM,103.833,103.851,103.833,103.846,65
20210118  12:37:00 AM,103.845,103.845,103.829,103.834,77
20210118  12:38:00 AM,103.836,103.836,103.82,103.824,57
20210118  12:39:00 AM,103.822,103.822,103.813,103.819,63
20210118  12:40:00 AM,103.816,103.849,103.816,103.847,77
20210118  12:41:00 AM,103.846,103.851,103.841,103.847,56
20210118  12:42:00 AM,103.847,103.847,103.838,103.838,44
20210118  12:43:00 AM,103.838,103.84,103.836,103.837,19
20210118  12:44:00 AM,103.835,103.835,103.826,103.832,66
20210118  12:45:00 AM,103.831,103.834,103.83,103.834,22
20210118  12:46:00 AM,103.834,103.842,103.833,103.842,48
20210118  12:47:00 AM,103.841,103.844,103.839,103.844,23
20210118  12:48:00 AM,103.845,103.85,103.841,103.847,54
20210118  12:49:00 AM,103.845,103.854,103.842,103.846,45
20210118  12:50:00 AM,103.847,103.847,103.84,103.84,19
20210118  12:51:00 AM,103.84,103.844,103.83,103.83,46
20210118  12:52:00 AM,103.83,103.83,103.821,103.824,58
20210118  12:53:00 AM,103.823,103.844,103.823,103.843,78
20210118  12:54:00 AM,103.843,103.849,103.808,103.821,153
20210118  12:55:00 AM,103.823,103.827,103.796,103.804,143
20210118  12:56:00 AM,103.805,103.813,103.805,103.808,50
20210118  12:57:00 AM,103.808,103.811,103.804,103.808,38
20210118  12:58:00 AM,103.808,103.813,103.807,103.812,34
20210118  12:59:00 AM,103.813,103.818,103.808,103.814,34
20210118  01:00:00 AM,103.814,103.814,103.794,103.8,61
20210118  01:01:00 AM,103.799,103.829,103.799,103.826,55
20210118  01:02:00 AM,103.826,103.829,103.818,103.821,45
20210118  01:03:00 AM,103.821,103.822,103.812,103.817,64
20210118  01:04:00 AM,103.814,103.816,103.799,103.802,53
20210118  01:05:00 AM,103.802,103.813,103.8,103.805,51
20210118  01:06:00 AM,103.806,103.81,103.802,103.808,28
20210118  01:07:00 AM,103.806,103.81,103.787,103.795,78
20210118  01:08:00 AM,103.789,103.793,103.784,103.786,57
20210118  01:09:00 AM,103.785,103.785,103.761,103.779,117
20210118  01:10:00 AM,103.78,103.792,103.777,103.788,60
20210118  01:11:00 AM,103.789,103.793,103.787,103.789,38
20210118  01:12:00 AM,103.788,103.791,103.778,103.778,79
20210118  01:13:00 AM,103.779,103.783,103.774,103.775,33
20210118  01:14:00 AM,103.774,103.774,103.763,103.767,91
20210118  01:15:00 AM,103.766,103.774,103.766,103.773,79
20210118  01:16:00 AM,103.771,103.771,103.754,103.763,69
20210118  01:17:00 AM,103.762,103.768,103.758,103.76,65
20210118  01:18:00 AM,103.762,103.762,103.756,103.759,46
20210118  01:19:00 AM,103.761,103.767,103.754,103.767,71
20210118  01:20:00 AM,103.766,103.775,103.766,103.772,70
20210118  01:21:00 AM,103.771,103.774,103.771,103.773,25
20210118  01:22:00 AM,103.772,103.777,103.768,103.769,33
20210118  01:23:00 AM,103.769,103.769,103.76,103.761,45
20210118  01:24:00 AM,103.76,103.766,103.757,103.762,56
20210118  01:25:00 AM,103.762,103.762,103.744,103.747,43
20210118  01:26:00 AM,103.747,103.752,103.742,103.75,107
20210118  01:27:00 AM,103.751,103.756,103.747,103.749,113
20210118  01:28:00 AM,103.748,103.748,103.736,103.736,120
20210118  01:29:00 AM,103.735,103.741,103.728,103.738,168
20210118  01:30:00 AM,103.738,103.742,103.726,103.726,131
20210118  01:31:00 AM,103.726,103.736,103.725,103.734,108
20210118  01:32:00 AM,103.735,103.737,103.721,103.73,76
20210118  01:33:00 AM,103.728,103.728,103.716,103.716,109
20210118  01:34:00 AM,103.717,103.731,103.715,103.728,154
20210118  01:35:00 AM,103.729,103.738,103.722,103.723,216
20210118  01:36:00 AM,103.724,103.73,103.723,103.723,66
20210118  01:37:00 AM,103.724,103.726,103.717,103.717,77
20210118  01:38:00 AM,103.719,103.73,103.717,103.728,55
20210118  01:39:00 AM,103.73,103.735,103.729,103.732,45
20210118  01:40:00 AM,103.733,103.749,103.731,103.746,137
20210118  01:41:00 AM,103.749,103.752,103.732,103.736,124
20210118  01:42:00 AM,103.737,103.747,103.732,103.737,114
